committee_id,committee_name,report_year,report_type,image_number,line_number,file_number,payee_name,payee_first_name,payee_middle_name,payee_last_name,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip,previous_file_number,amendment_indicator,amendment_number,expenditure_description,expenditure_date,dissemination_date,expenditure_amount,office_total_ytd,category_code,category_code_full,support_oppose_indicator,memo_code,memo_code_full,candidate_id,candidate_name,candidate_prefix,candidate_first_name,candidate_middle_name,candidate_last_name,candidate_suffix,candidate_office,candidate_office_state,candidate_office_district,candidate_party,conduit_committee_id,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,independent_sign_name,independent_sign_date,notary_sign_name,notary_sign_date,notary_commission_expiration_date,election_type,election_type_full,back_reference_transaction_id,back_reference_schedule_name,filer_first_name,filer_middle_name,filer_last_name,transaction_id,original_sub_id,action_code,action_code_full,schedule_type_full,filing_form,link_id,sub_id,payee_prefix,payee_suffix,is_notice,most_recent,filing_date,memo_text,filer_prefix,filer_suffix,schedule_type,pdf_url
C00495028,HMP,2024,48,202401189600114999,24,1744351,GAMBIT STRATEGIES LLC,,,,2939 VAN NESS ST NW,APT 1006,WASHINGTON,DC,200084605,1744351,N,0,DIGITAL ADVERTISING - ESTIMATE,2024-01-16 00:00:00,2024-01-16 00:00:00,200675.93,704321.13,,,O,,,H4NY03283,"PILIP, MAZI M.",,MAZI,M.,PILIP,,H,NY,3,REP,,,,,,,,"WOLFF, BRIAN",2024-01-18 00:00:00,,,,O2023,SPECIAL GENERAL,,,BRIAN,,WOLFF,500487767,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4011920241815780002,4011920241815858017,,,t,t,2024-01-18 00:00:00,,,,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202401189600114999
C00495028,HMP,2024,24,202401269600442718,24,1746532,"MISSION CONTROL, INC.",,,,624 HEBRON AVE,STE 200,GLASTONBURY,CT,60335006,1746532,N,0,DIRECT MAIL - ESTIMATE,2024-01-26 00:00:00,2024-01-26 00:00:00,49715.81,2137209.94,,,O,,,H4NY03283,"PILIP, MAZI M.",,MAZI,M.,PILIP,,H,NY,3,REP,,,,,,,,"WOLFF, BRIAN",2024-01-26 00:00:00,,,,O2023,SPECIAL GENERAL,,,BRIAN,,WOLFF,500488648,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4012720241817162001,4012720241817178007,,,t,t,2024-01-26 00:00:00,,,,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202401269600442718
C00754069,PAF,2024,24,202401259600297330,24,1745898,BEESWAX.IO,,,,275 7TH AVE,21ST FLOOR,NEW YORK,NY,10001,1745898,N,0,DIGITAL ADVERTISING,2024-01-24 00:00:00,2024-01-25 00:00:00,10000.00,141992.00,,,O,,,H4NY03283,"PILIP, MAZI",,MAZI,,PILIP,,H,NY,3,REP,,,,,,,,"SCHUMAN, BLAIR",2024-01-25 00:00:00,,,,O2024,SPECIAL,,,BLAIR,,SCHUMAN,WFT2024025131-1,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4012520241816349007,4012520241816503017,,,t,t,2024-01-25 00:00:00,,,,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202401259600297330
C00495028,HMP,2024,24,202402079619686057,24,1754722,GAMBIT STRATEGIES LLC,,,,2939 VAN NESS ST NW,APT 1006,WASHINGTON,DC,200084605,1754722,N,0,DIGITAL PRODUCTION - ESTIMATE,2024-02-06 00:00:00,2024-02-06 00:00:00,11458.00,6985270.69,,,O,,,H4NY03283,"PILIP, MAZI M.",,MAZI,M.,PILIP,,H,NY,3,REP,,,,,,,,"WOLFF, BRIAN",2024-02-07 00:00:00,,,,O2023,SPECIAL GENERAL,,,BRIAN,,WOLFF,500490105,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4020720241822551008,4020720241822948227,,,t,t,2024-02-07 00:00:00,,,,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202402079619686057
C00495028,HMP,2024,48,202401209600126501,24,1744615,"MISSION CONTROL, INC.",,,,624 HEBRON AVE,STE 200,GLASTONBURY,CT,60335006,1744615,N,0,DIRECT MAIL - ESTIMATE,2024-01-18 00:00:00,2024-01-18 00:00:00,32067.65,840815.97,,,O,,,H4NY03283,"PILIP, MAZI M.",,MAZI,M.,PILIP,,H,NY,3,REP,,,,,,,,"WOLFF, BRIAN",2024-01-20 00:00:00,,,,O2023,SPECIAL GENERAL,,,BRIAN,,WOLFF,500487959,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4012020241815872003,4012020241815888008,,,t,t,2024-01-20 00:00:00,,,,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202401209600126501
C00495028,HMP,2024,48,202401259600407049,24,1746123,"MISSION CONTROL, INC.",,,,624 HEBRON AVE,STE 200,GLASTONBURY,CT,60335006,1746123,N,0,DIRECT MAIL - ESTIMATE,2024-01-23 00:00:00,2024-01-23 00:00:00,60082.82,1942680.50,,,O,,,H4NY03283,"PILIP, MAZI M.",,MAZI,M.,PILIP,,H,NY,3,REP,,,,,,,,"WOLFF, BRIAN",2024-01-25 00:00:00,,,,O2023,SPECIAL GENERAL,,,BRIAN,,WOLFF,500488570,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4012620241816522000,4012620241817137003,,,t,t,2024-01-25 00:00:00,,,,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202401259600407049
C00000935,DCCC,2023,48,202401109600022546,24,1742549,AMPLIFY MEDIA LLC,,,,PO BOX #6,,FRANKLIN PARK,IL,60131,1741319,A,1,MEDIA BUY - ESTIMATE,2023-12-28 00:00:00,2024-01-02 00:00:00,921177.00,1018454.74,,,O,,,H4NY03283,"PILIP, MAZI MELESA",,MAZI MELESA,,PILIP,,H,NY,3,REP,,,,,,,,"MERZ, JULIE",2024-01-10 00:00:00,,,,S2024,SPECIAL GENERAL,,,JULIE,,MERZ,SE-1068675,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4011020241815211003,4011020241815250024,,,t,t,2024-01-10 00:00:00,DATE OF DISSEMINATION: 01/02/24,,,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202401109600022546
C00754069,PAF,2024,24,202402019619653015,24,1754025,BEESWAX.IO,,,,275 7TH AVE,21ST FLOOR,NEW YORK,NY,10001,1754025,N,0,DIGITAL ADVERTISING,2024-02-01 00:00:00,2024-02-01 00:00:00,20000.00,181992.00,,,O,,,H4NY03283,"PILIP, MAZI",,MAZI,,PILIP,,H,NY,3,REP,,,,,,,,"SCHUMAN, BLAIR",2024-02-01 00:00:00,,,,O2024,SPECIAL,,,BLAIR,,SCHUMAN,WFT2024111840-1,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4020120241818220023,4020120241818739572,,,t,t,2024-02-01 00:00:00,,,,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202402019619653015
C00495028,HMP,2024,48,202401259600407050,24,1746123,WATERFRONT STRATEGIES,,,,3050 K ST NW,STE 100,WASHINGTON,DC,200075161,1746123,N,0,TELEVISION ADVERTISING - ESTIMATE,2024-01-23 00:00:00,2024-01-23 00:00:00,806437.50,1942680.50,,,O,,,H4NY03283,"PILIP, MAZI M.",,MAZI,M.,PILIP,,H,NY,3,REP,,,,,,,,"WOLFF, BRIAN",2024-01-25 00:00:00,,,,O2023,SPECIAL GENERAL,,,BRIAN,,WOLFF,500488566,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4012620241816522000,4012620241817137004,,,t,t,2024-01-25 00:00:00,,,,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202401259600407050
C00495028,HMP,2024,24,202401319619299996,24,1753116,WATERFRONT STRATEGIES,,,,3050 K ST NW,STE 100,WASHINGTON,DC,200075161,1753116,N,0,TELEVISION ADVERTISING - ESTIMATE,2024-01-30 00:00:00,2024-01-30 00:00:00,1157062.50,3669547.39,,,O,,,H4NY03283,"PILIP, MAZI M.",,MAZI,M.,PILIP,,H,NY,3,REP,,,,,,,,"WOLFF, BRIAN",2024-01-31 00:00:00,,,,O2023,SPECIAL GENERAL,,,BRIAN,,WOLFF,500489243,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4020120241818220000,4020120241818739002,,,t,t,2024-01-31 00:00:00,,,,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202401319619299996
