transaction_id,committee_name,image_number,entity_type,amendment_indicator,back_reference_transaction_id,back_reference_schedule_name,load_timestamp,line_number,file_number,related_line_number,committee_id,recipient_name,recipient_city,recipient_state,recipient_zip,recipient_prefix,recipient_suffix,beneficiary_committee_name,disbursement_type,disbursement_description,disbursement_date,disbursement_amount,semi_annual_bundled_refund,candidate_office,candidate_office_district,memo_code,memo_text
500068600,SUOZZI FOR CONGRESS,202312019599368475,ORG,N,,,2023-12-01 10:06:05,17,1737426,860,C00607200,Bank of America,Glen Cove,NY,115422704,,,,,Wire Fee,2021-09-29,30,,,,,
500068610,SUOZZI FOR CONGRESS,202312019599368475,ORG,N,,,2023-12-01 10:06:05,17,1737426,861,C00607200,LIPA,Hicksville,NY,118029039,,,,,Electric Bill,2021-08-19,206.93,,,,,
SB17.4811,SUOZZI FOR CONGRESS,202310139597592407,ORG,A,,,2023-10-13 15:10:47,17,1729813,2,C00607200,AT&T,Aurora,IL,605728212,,,,,Telephone,2023-08-01,107.25,,,,,
SB17.4812,SUOZZI FOR CONGRESS,202310139597592407,ORG,A,,,2023-10-13 15:10:47,17,1729813,3,C00607200,AT&T,Aurora,IL,605728212,,,,,Telephone,2023-09-01,107.25,,,,,
SB17.4818,SUOZZI FOR CONGRESS,202310139597592407,ORG,A,,,2023-10-13 15:10:47,17,1729813,4,C00607200,Bank of America,Glen Cove,NY,115422704,,,,,Bank Charge,2023-08-09,27.5,,,,,
SB17.4819,SUOZZI FOR CONGRESS,202310139597592408,ORG,A,,,2023-10-13 15:10:47,17,1729813,5,C00607200,Bank of America,Glen Cove,NY,115422704,,,,,Bank Charge,2023-09-01,29.95,,,,,
SB17.4820,SUOZZI FOR CONGRESS,202310139597592408,ORG,A,,,2023-10-13 15:10:47,17,1729813,6,C00607200,Bank of America,Glen Cove,NY,115422704,,,,,Bank Charge,2023-09-05,27.5,,,,,
SB17.4821,SUOZZI FOR CONGRESS,202310139597592408,ORG,A,,,2023-10-13 15:10:47,17,1729813,7,C00607200,Mount Sinai South Nassau,Oceanside,NY,11572,,,,,Advertising,2023-08-24,2500,,,,,
500068520,SUOZZI FOR CONGRESS,202312019599368475,ORG,N,,,2023-12-01 10:06:05,17,1737426,862,C00607200,Sage Payment Solutions,Reston,VA,201905858,,,,,Credit Card Processing Fee,2021-09-02,13149.86,,,,,
500068620,SUOZZI FOR CONGRESS,202312019599368476,ORG,N,,,2023-12-01 10:06:05,17,1737426,863,C00607200,Uber,San Francisco,CA,941055800,,,,,Travel,2021-08-23,8.67,,,,,
500068630,SUOZZI FOR CONGRESS,202312019599368476,ORG,N,,,2023-12-01 10:06:05,17,1737426,864,C00607200,Arno Ristorante,New York,NY,100185074,,,,,Political Meeting,2021-08-11,215,,,,,
500068530,SUOZZI FOR CONGRESS,202312019599368476,ORG,N,,,2023-12-01 10:06:05,17,1737426,865,C00607200,Paychex,Rochester,NY,146204648,,,,,Payroll - Taxes,2021-09-15,1704.71,,,,,
500067640,SUOZZI FOR CONGRESS,202312019599368477,ORG,N,,,2023-12-01 10:06:05,17,1737426,866,C00607200,The New York Mets,Corona,NY,11368,,,,,Event Tickets,2021-07-02,985,,,,,
500068650,SUOZZI FOR CONGRESS,202312019599368477,ORG,N,,,2023-12-01 10:06:05,17,1737426,867,C00607200,GBA Strategies,Washington,DC,200363511,,,,,Consultant - Reimbursement,2021-08-31,1240.1,,,,,
500067650,SUOZZI FOR CONGRESS,202312019599368477,ORG,N,,,2023-12-01 10:06:05,17,1737426,868,C00607200,Dropbox,San Francisco,CA,941071810,,,,,Software - File Storage,2021-08-25,11.99,,,,,
500068560,SUOZZI FOR CONGRESS,202312019599368478,ORG,N,,,2023-12-01 10:06:05,17,1737426,869,C00607200,Paul Vallone for Civil Court,Astoria,NY,111052748,,,,,Non-Federal Donation,2021-08-20,1000,,,,,
500068660,SUOZZI FOR CONGRESS,202312019599368478,ORG,N,,,2023-12-01 10:06:05,17,1737426,870,C00607200,ActBlue Technical Services,Somerville,MA,21443132,,,,,Credit Card Processing Fee,2021-08-01,719.87,,,,,
500068580,SUOZZI FOR CONGRESS,202312019599368478,ORG,N,,,2023-12-01 10:06:05,17,1737426,871,C00607200,Sweetgreen,Washington,DC,200031107,,,,,Meals,2021-08-26,13.7,,,,,
500067680,SUOZZI FOR CONGRESS,202312019599368479,ORG,N,,,2023-12-01 10:06:05,17,1737426,872,C00607200,Robert Trent Jones Golf Club,Gainesville,VA,201552803,,,,,Event,2021-07-18,4186.25,,,,,
500068590,SUOZZI FOR CONGRESS,202312019599368479,ORG,N,,,2023-12-01 10:06:05,17,1737426,873,C00607200,AT&T,Aurora,IL,605728212,,,,,Cellphone Bill,2021-08-02,196.33,,,,,
500068601,SUOZZI FOR CONGRESS,202312019599368479,ORG,N,,,2023-12-01 10:06:05,17,1737426,874,C00607200,Bank of America,Glen Cove,NY,115422704,,,,,Wire Fee,2021-09-29,30,,,,,
500068611,SUOZZI FOR CONGRESS,202312019599368480,ORG,N,,,2023-12-01 10:06:05,17,1737426,875,C00607200,LIPA,Hicksville,NY,118029039,,,,,Electric Bill,2021-09-22,213.84,,,,,
500068521,SUOZZI FOR CONGRESS,202312019599368480,ORG,N,,,2023-12-01 10:06:05,17,1737426,876,C00607200,Paychex,Rochester,NY,146204648,,,,,Payroll - Invoice,2021-07-15,127,,,,,
500068621,SUOZZI FOR CONGRESS,202312019599368480,ORG,N,,,2023-12-01 10:06:05,17,1737426,877,C00607200,Michaels of Brooklyn,Brooklyn,NY,112292604,,,,,Political Event,2021-07-19,907.33,,,,,
500068631,SUOZZI FOR CONGRESS,202312019599368481,ORG,N,,,2023-12-01 10:06:05,17,1737426,878,C00607200,Amtrak,Washington,DC,200024285,,,,,Travel,2021-09-30,119,,,,,
500068531,SUOZZI FOR CONGRESS,202312019599368481,ORG,N,,,2023-12-01 10:06:05,17,1737426,879,C00607200,Paychex,Rochester,NY,146204648,,,,,Payroll,2021-07-15,4131.68,,,,,
500068532,SUOZZI FOR CONGRESS,202312019599368481,IND,N,500068531,SB17,2023-12-01 10:06:05,17,1737426,880,C00607200,Fishkin,Washington,DC,200094807,,,,,Payroll,2021-07-15,2033.96,,,,X,*
500068533,SUOZZI FOR CONGRESS,202312019599368482,IND,N,500068531,SB17,2023-12-01 10:06:05,17,1737426,881,C00607200,Guthrie,Brooklyn,NY,112384014,,,,,Payroll,2021-07-15,1960.72,,,,X,*
500068534,SUOZZI FOR CONGRESS,202312019599368482,IND,N,500068531,SB17,2023-12-01 10:06:05,17,1737426,882,C00607200,Goldfeder,Forest Hills,NY,113754152,,,,,Payroll,2021-07-15,137,,,,X,*
500067641,SUOZZI FOR CONGRESS,202312019599368482,ORG,N,,,2023-12-01 10:06:05,17,1737426,883,C00607200,The New York Mets,Corona,NY,11368,,,,,Event Tickets,2021-08-20,9665,,,,,
500068641,SUOZZI FOR CONGRESS,202312019599368483,ORG,N,,,2023-12-01 10:06:05,17,1737426,884,C00607200,Gold Coast Mailroom,Glen Cove,NY,115422549,,,,,Postage,2021-08-31,88.53,,,,,
500068651,SUOZZI FOR CONGRESS,202312019599368483,IND,N,,,2023-12-01 10:06:05,17,1737426,885,C00607200,Devlin,Sea Cliff,NY,115791131,,,,,Reimbursement,2021-09-01,956.89,,,,,
500067651,SUOZZI FOR CONGRESS,202312019599368483,ORG,N,,,2023-12-01 10:06:05,17,1737426,886,C00607200,Dropbox,San Francisco,CA,941071810,,,,,Software - File Storage,2021-09-26,11.99,,,,,
500068561,SUOZZI FOR CONGRESS,202312019599368484,ORG,N,,,2023-12-01 10:06:05,17,1737426,887,C00607200,City of Glen Cove,Glen Cove,NY,115422798,,,,,School District Taxes,2021-08-20,4487.9,,,,,
500067661,SUOZZI FOR CONGRESS,202312019599368484,COM,N,,,2023-12-01 10:06:05,17,1737426,888,C00607200,Huntington Town Democratic Committee,Huntington,NY,117436919,,,,,Non-Federal Contribution,2021-09-06,1000,,,,,
500068661,SUOZZI FOR CONGRESS,202312019599368484,ORG,N,,,2023-12-01 10:06:05,17,1737426,889,C00607200,ActBlue Technical Services,Somerville,MA,21443132,,,,,Credit Card Processing Fee,2021-08-08,289.44,,,,,
500067671,SUOZZI FOR CONGRESS,202312019599368485,ORG,N,,,2023-12-01 10:06:05,17,1737426,890,C00607200,New York State Insurance Fund,Melville,NY,117473193,,,,,Workers' Compensation Policy - Fee,2021-07-22,153.9,,,,,
500067681,SUOZZI FOR CONGRESS,202312019599368485,ORG,N,,,2023-12-01 10:06:05,17,1737426,891,C00607200,Staples,Glen Cove,NY,115422511,,,,,Office Supplies,2021-08-26,43.44,,,,,
500068581,SUOZZI FOR CONGRESS,202312019599368485,ORG,N,,,2023-12-01 10:06:05,17,1737426,892,C00607200,Sweetgreen,Washington,DC,200031107,,,,,Meals,2021-09-09,13.7,,,,,
500068591,SUOZZI FOR CONGRESS,202312019599368486,ORG,N,,,2023-12-01 10:06:05,17,1737426,893,C00607200,AT&T,Aurora,IL,605728212,,,,,Cellphone Bill,2021-09-01,161.57,,,,,
500067691,SUOZZI FOR CONGRESS,202312019599368486,ORG,N,,,2023-12-01 10:06:05,17,1737426,894,C00607200,UberConference,San Francisco,CA,941114510,,,,,Software,2021-07-18,21.73,,,,,
500068602,SUOZZI FOR CONGRESS,202312019599368486,ORG,N,,,2023-12-01 10:06:05,17,1737426,895,C00607200,Bank of America,Glen Cove,NY,115422704,,,,,Chargeback Fee,2021-09-29,12,,,,,
500068512,SUOZZI FOR CONGRESS,202312019599368487,ORG,N,,,2023-12-01 10:06:05,17,1737426,896,C00607200,Somos Conference Puerto Rico,Carolina,PR,9795720,,,,,Conference Registration,2021-09-17,375,,,,,
500068522,SUOZZI FOR CONGRESS,202312019599368487,ORG,N,,,2023-12-01 10:06:05,17,1737426,897,C00607200,Paychex,Rochester,NY,146204648,,,,,Payroll - Invoice,2021-07-30,208,,,,,
500068622,SUOZZI FOR CONGRESS,202312019599368487,ORG,N,,,2023-12-01 10:06:05,17,1737426,898,C00607200,Derek Perkinson Consulting,New York,NY,100371640,,,,,Consulting - Strategy,2021-07-21,1000,,,,,
500067642,SUOZZI FOR CONGRESS,202312019599368488,ORG,N,,,2023-12-01 10:06:05,17,1737426,899,C00607200,Amtrak,Washington,DC,200024285,,,,,Travel,2021-07-23,68,,,,,
500068642,SUOZZI FOR CONGRESS,202312019599368488,ORG,N,,,2023-12-01 10:06:05,17,1737426,900,C00607200,Washington Nationals,Washington,DC,200033599,,,,,Political Event,2021-09-29,92,,,,,
500068552,SUOZZI FOR CONGRESS,202312019599368488,ORG,N,,,2023-12-01 10:06:05,17,1737426,901,C00607200,London House,Bronx,NY,104662008,,,,,Consulting - Strategy,2021-07-28,1000,,,,,
500068652,SUOZZI FOR CONGRESS,202312019599368489,IND,N,,,2023-12-01 10:06:05,17,1737426,902,C00607200,Devlin,Sea Cliff,NY,115791131,,,,,Reimbursement,2021-07-28,1010.54,,,,,
500068562,SUOZZI FOR CONGRESS,202312019599368489,ORG,N,,,2023-12-01 10:06:05,17,1737426,903,C00607200,Gill Associates,Glen Cove,NY,115422512,,,,,Photography,2021-09-03,543.13,,,,,
500068662,SUOZZI FOR CONGRESS,202312019599368489,ORG,N,,,2023-12-01 10:06:05,17,1737426,904,C00607200,ActBlue Technical Services,Somerville,MA,21443132,,,,,Credit Card Processing Fee,2021-08-15,415.75,,,,,
500067662,SUOZZI FOR CONGRESS,202312019599368490,COM,N,,,2023-12-01 10:06:05,17,1737426,905,C00607200,Jim Owles Liberal Democratic Club,New York,NY,100115835,,,,,Contribution,2021-07-18,500,,,,,
500067672,SUOZZI FOR CONGRESS,202312019599368490,ORG,N,,,2023-12-01 10:06:05,17,1737426,906,C00607200,New York State Insurance Fund,Melville,NY,117473193,,,,,Workers' Compensation Policy - Fee,2021-07-22,3.46,,,,,
500068582,SUOZZI FOR CONGRESS,202312019599368490,ORG,N,,,2023-12-01 10:06:05,17,1737426,907,C00607200,Sweetgreen,Washington,DC,200031107,,,,,Meals,2021-09-15,13.7,,,,,
500067682,SUOZZI FOR CONGRESS,202312019599368491,ORG,N,,,2023-12-01 10:06:05,17,1737426,908,C00607200,Storage Post Self Storage,Glen Cove,NY,115423636,,,,,Storage Unit Rental,2021-07-29,150,,,,X,*
500068592,SUOZZI FOR CONGRESS,202312019599368491,ORG,N,,,2023-12-01 10:06:05,17,1737426,909,C00607200,AT&T,Aurora,IL,605728212,,,,,Cellphone Bill,2021-09-30,118.06,,,,,
500067692,SUOZZI FOR CONGRESS,202312019599368491,ORG,N,,,2023-12-01 10:06:05,17,1737426,910,C00607200,UberConference,San Francisco,CA,941114510,,,,,Software,2021-08-18,21.73,,,,,
500068603,SUOZZI FOR CONGRESS,202312019599368492,ORG,N,,,2023-12-01 10:06:05,17,1737426,911,C00607200,Bank of America,Glen Cove,NY,115422704,,,,,Chargeback Fee,2021-07-07,12,,,,,
500068523,SUOZZI FOR CONGRESS,202312019599368492,ORG,N,,,2023-12-01 10:06:05,17,1737426,912,C00607200,Paychex,Rochester,NY,146204648,,,,,Payroll - Invoice,2021-08-13,184,,,,,
500068623,SUOZZI FOR CONGRESS,202312019599368492,ORG,N,,,2023-12-01 10:06:05,17,1737426,913,C00607200,Osteria Morini,Washington,DC,200033734,,,,,Event,2021-07-23,172,,,,,
500067643,SUOZZI FOR CONGRESS,202312019599368493,ORG,N,,,2023-12-01 10:06:05,17,1737426,914,C00607200,Citi Field,Corona,NY,113684191,,,,,Event food & beverage,2021-09-15,720,,,,,
500068653,SUOZZI FOR CONGRESS,202312019599368493,IND,N,,,2023-12-01 10:06:05,17,1737426,915,C00607200,Florio,East Northport,NY,117314817,,,,,"Reimbursement - tolls, flights, & hotels",2021-08-11,1717.5,,,,,
500067653,SUOZZI FOR CONGRESS,202312019599368493,ORG,N,,,2023-12-01 10:06:05,17,1737426,916,C00607200,Google,Mountain View,CA,940431351,,,,,GSuite,2021-07-04,46.93,,,,,
500067663,SUOZZI FOR CONGRESS,202312019599368494,ORG,N,,,2023-12-01 10:06:05,17,1737426,917,C00607200,Madison Square Garden,New York,NY,101210101,,,,,Billy Joel Fundraising Event,2021-07-30,14950,,,,,
500068663,SUOZZI FOR CONGRESS,202312019599368494,ORG,N,,,2023-12-01 10:06:05,17,1737426,918,C00607200,ActBlue Technical Services,Somerville,MA,21443132,,,,,Credit Card Processing Fee,2021-08-22,270.2,,,,,
500068563,SUOZZI FOR CONGRESS,202312019599368494,IND,N,,,2023-12-01 10:06:05,17,1737426,919,C00607200,Florio,East Northport,NY,117314817,,,,,Reimbursement - travel: flights & hotels,2021-09-14,560.6,,,,,
500067673,SUOZZI FOR CONGRESS,202312019599368495,ORG,N,,,2023-12-01 10:06:05,17,1737426,920,C00607200,New York State Insurance Fund,Melville,NY,117473193,,,,,Workers' Compensation Policy - Fee,2021-09-19,11.29,,,,,
500068583,SUOZZI FOR CONGRESS,202312019599368495,ORG,N,,,2023-12-01 10:06:05,17,1737426,921,C00607200,Sweetgreen,Washington,DC,200031107,,,,,Meals,2021-09-23,13.7,,,,,
500061583,SUOZZI FOR CONGRESS,202312019599368495,ORG,N,,,2023-12-01 10:06:05,17,1737426,922,C00607200,Trattoria Alberto,Washington,DC,200032834,,,,,Event,2021-09-24,730,,,,,
