committee_id,committee_name,report_year,report_type,image_number,line_number,file_number,payee_name,payee_first_name,payee_middle_name,payee_last_name,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip,previous_file_number,amendment_indicator,amendment_number,expenditure_description,expenditure_date,dissemination_date,expenditure_amount,office_total_ytd,category_code,category_code_full,support_oppose_indicator,memo_code,memo_code_full,candidate_id,candidate_name,candidate_prefix,candidate_first_name,candidate_middle_name,candidate_last_name,candidate_suffix,candidate_office,candidate_office_state,candidate_office_district,candidate_party,conduit_committee_id,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,independent_sign_name,independent_sign_date,notary_sign_name,notary_sign_date,notary_commission_expiration_date,election_type,election_type_full,back_reference_transaction_id,back_reference_schedule_name,filer_first_name,filer_middle_name,filer_last_name,transaction_id,original_sub_id,action_code,action_code_full,schedule_type_full,filing_form,link_id,sub_id,payee_prefix,payee_suffix,is_notice,most_recent,filing_date,memo_text,filer_prefix,filer_suffix,schedule_type,pdf_url
C00659219,AMERICAN JOBS AND GROWTH PAC,2020,24,202010179297149789,24,1454809,"MAJORITY STRATEGIES, LLC",,,,"12854 KENAN DRIVE, SUITE 145",,JACKSONVILLE,FL,32258,1454809,N,,WEB DESIGN FEE,2020-10-16 00:00:00,2020-10-16 00:00:00,999.00,999.00,4,Advertising Expenses ,O,,,H6NY03247,"SUOZZI, THOMAS",,THOMAS,,SUOZZI,,H,NY,3,DEM,C00659219,,,,,,,"NORRIS, THOMAS",2020-10-17 00:00:00,,,,G2020,,,,THOMAS,,NORRIS,SE.4340,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4101820201882127326,4101820201882173313,,,t,t,2020-10-17 00:00:00,,,,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202010179297149789
C00659219,AMERICAN JOBS AND GROWTH PAC,2020,24,202010179297149790,24,1454809,"MAJORITY STRATEGIES, LLC",,,,"12854 KENAN DRIVE, SUITE 145",,JACKSONVILLE,FL,32258,1454809,N,,DIGITAL ADVERTISING,2020-10-16 00:00:00,2020-10-16 00:00:00,39920.70,42919.70,4,Advertising Expenses ,O,,,H6NY03247,"SUOZZI, THOMAS",,THOMAS,,SUOZZI,,H,NY,3,DEM,C00659219,,,,,,,"NORRIS, THOMAS",2020-10-17 00:00:00,,,,G2020,,,,THOMAS,,NORRIS,SE.4341,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4101820201882127326,4101820201882173314,,,t,t,2020-10-17 00:00:00,,,,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202010179297149790
C00659219,AMERICAN JOBS AND GROWTH PAC,2020,24,202010179297149789,24,1454809,"MAJORITY STRATEGIES, LLC",,,,"12854 KENAN DRIVE, SUITE 145",,JACKSONVILLE,FL,32258,1454809,N,,VIDEO DESIGN FEE,2020-10-16 00:00:00,2020-10-16 00:00:00,2000.00,2999.00,4,Advertising Expenses ,O,,,H6NY03247,"SUOZZI, THOMAS",,THOMAS,,SUOZZI,,H,NY,3,DEM,C00659219,,,,,,,"NORRIS, THOMAS",2020-10-17 00:00:00,,,,G2020,,,,THOMAS,,NORRIS,SE.4339,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4101820201882127326,4101820201882173312,,,t,t,2020-10-17 00:00:00,,,,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202010179297149789
C00504530,CONGRESSIONAL LEADERSHIP FUND,2024,48,202401149600069607,24,1743285,BIG DOG STRATEGIES LLC,,,,23150 FASHION DR.,SUITE 231,ESTERO,FL,33928,1743285,N,0,DIRECT MAIL,2024-01-11 00:00:00,2024-01-12 00:00:00,68357.61,114591.06,4,Advertising Expenses ,O,,,H6NY03247,"SUOZZI, THOMAS",,THOMAS,,SUOZZI,,H,NY,3,DEM,,,,,,,,"CROSBY, CALEB",2024-01-14 00:00:00,,,,S2024,SPECIAL GENERAL,,,CALEB,,CROSBY,SE24.73,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4011420241815465005,4011420241815473014,,,t,t,2024-01-14 00:00:00,,,,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202401149600069607
C00504530,CONGRESSIONAL LEADERSHIP FUND,2024,24,202401259600322707,24,1746020,ADVANTAGE INC,,,,9420 BONITA BEACH ROAD SE,SUITE 200,BONITA SPRINGS,FL,34135,1746020,N,0,PHONE CALLS,2024-01-24 00:00:00,2024-01-24 00:00:00,15585.60,2038677.66,4,Advertising Expenses ,O,,,H6NY03247,"SUOZZI, THOMAS",,THOMAS,,SUOZZI,,H,NY,3,DEM,,,,,,,,"CROSBY, CALEB",2024-01-25 00:00:00,,,,S2024,SPECIAL GENERAL,,,CALEB,,CROSBY,SE24.103,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4012520241816349008,4012520241816503018,,,t,t,2024-01-25 00:00:00,,,,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202401259600322707
C00504530,CONGRESSIONAL LEADERSHIP FUND,2024,48,202401229600144278,24,1744988,STARBOARD ADVERTISING,,,,16192 COASTAL HIGHWAY,,LEWES,DE,19958,1744988,N,0,MEDIA PLACEMENT,2024-01-19 00:00:00,2024-01-20 00:00:00,270000.00,1954734.45,4,Advertising Expenses ,O,,,H6NY03247,"SUOZZI, THOMAS",,THOMAS,,SUOZZI,,H,NY,3,DEM,,,,,,,,"CROSBY, CALEB",2024-01-22 00:00:00,,,,S2024,SPECIAL GENERAL,,,CALEB,,CROSBY,SE24.85,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4012220241815920003,4012220241815970818,,,t,t,2024-01-22 00:00:00,,,,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202401229600144278
C00504530,CONGRESSIONAL LEADERSHIP FUND,2024,48,202401259600322712,24,1746022,BIG DOG STRATEGIES LLC,,,,23150 FASHION DR,SUITE 231,ESTERO,FL,33928,1746022,N,0,DIRECT MAIL,2024-01-22 00:00:00,2024-01-23 00:00:00,17417.67,2023092.06,4,Advertising Expenses ,O,,,H6NY03247,"SUOZZI, THOMAS",,THOMAS,,SUOZZI,,H,NY,3,DEM,,,,,,,,"CROSBY, CALEB",2024-01-25 00:00:00,,,,S2024,SPECIAL GENERAL,,,CALEB,,CROSBY,SE24.88,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4012520241816349009,4012520241816503019,,,t,t,2024-01-25 00:00:00,,,,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202401259600322712
C00504530,CONGRESSIONAL LEADERSHIP FUND,2024,24,202401279600444309,24,1746753,BIG DOG STRATEGIES LLC,,,,23150 FASHION DR,SUITE 231,ESTERO,FL,33928,1746753,N,0,DIRECT MAIL,2024-01-25 00:00:00,2024-01-26 00:00:00,17417.67,2107035.27,4,Advertising Expenses ,O,,,H6NY03247,"SUOZZI, THOMAS",,THOMAS,,SUOZZI,,H,NY,3,DEM,,,,,,,,"CROSBY, CALEB",2024-01-27 00:00:00,,,,S2024,SPECIAL GENERAL,,,CALEB,,CROSBY,SE24.117,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4012720241817162003,4012720241817178009,,,t,t,2024-01-27 00:00:00,,,,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202401279600444309
C00504530,CONGRESSIONAL LEADERSHIP FUND,2024,24,202402039619675150,24,1754245,SOMETHING ELSE STRATEGIES LLC,,,,212 GOLDEN WILLOW COURT,,EASLEY,SC,29642,1754245,N,0,MEDIA PRODUCTION,2024-02-02 00:00:00,2024-02-02 00:00:00,26000.00,4589332.84,4,Advertising Expenses ,O,,,H6NY03247,"SUOZZI, THOMAS",,THOMAS,,SUOZZI,,H,NY,3,DEM,,,,,,,,"CROSBY, CALEB",2024-02-03 00:00:00,,,,S2024,SPECIAL GENERAL,,,CALEB,,CROSBY,SE24.126,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4020320241819214007,4020320241819272028,,,t,t,2024-02-03 00:00:00,,,,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202402039619675150
C00504530,CONGRESSIONAL LEADERSHIP FUND,2024,48,202401079599982441,24,1741938,BIG DOG STRATEGIES LLC,,,,23150 FASHION DR.,SUITE 231,ESTERO,FL,33928,1741938,N,0,DIRECT MAIL,2024-01-04 00:00:00,2024-01-05 00:00:00,46233.45,46233.45,4,Advertising Expenses ,O,,,H6NY03247,"SUOZZI, THOMAS",,THOMAS,,SUOZZI,,H,NY,3,DEM,,,,,,,,"CROSBY, CALEB",2024-01-07 00:00:00,,,,S2024,SPECIAL GENERAL,,,CALEB,,CROSBY,SE24.64,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4010720241815050006,4010720241815056017,,,t,t,2024-01-07 00:00:00,,,,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202401079599982441
