committee_id,committee_name,report_year,report_type,image_number,line_number,file_number,payee_name,payee_first_name,payee_middle_name,payee_last_name,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip,previous_file_number,amendment_indicator,amendment_number,expenditure_description,expenditure_date,dissemination_date,expenditure_amount,office_total_ytd,category_code,category_code_full,support_oppose_indicator,memo_code,memo_code_full,candidate_id,candidate_name,candidate_prefix,candidate_first_name,candidate_middle_name,candidate_last_name,candidate_suffix,candidate_office,candidate_office_state,candidate_office_district,candidate_party,conduit_committee_id,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,independent_sign_name,independent_sign_date,notary_sign_name,notary_sign_date,notary_commission_expiration_date,election_type,election_type_full,back_reference_transaction_id,back_reference_schedule_name,filer_first_name,filer_middle_name,filer_last_name,transaction_id,original_sub_id,action_code,action_code_full,schedule_type_full,filing_form,link_id,sub_id,payee_prefix,payee_suffix,is_notice,most_recent,filing_date,memo_text,filer_prefix,filer_suffix,schedule_type,pdf_url
C00495028,HMP,2024,24,202401269600442716,24,1746532,GAMBIT STRATEGIES LLC,,,,2939 VAN NESS ST NW,APT 1006,WASHINGTON,DC,200084605,1746532,N,0,DIGITAL PRODUCTION - ESTIMATE,2024-01-25 00:00:00,2024-01-25 00:00:00,6799.00,2137209.94,,,S,,,H6NY03247,"SUOZZI, THOMAS",,THOMAS,,SUOZZI,,H,NY,3,DEM,,,,,,,,"WOLFF, BRIAN",2024-01-26 00:00:00,,,,O2023,SPECIAL GENERAL,,,BRIAN,,WOLFF,500488645,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4012720241817162001,4012720241817178003,,,t,t,2024-01-26 00:00:00,,,,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202401269600442716
C00580068,PROGRESSIVE TURNOUT PROJECT,2016,48,201610069032188767,24,1102919,"POWER PLAY STRATEGIES, LLC",,,,533 84TH ST,,BROOKLYN,NY,112094701,1102919,N,,FIELD CONSULTING,2016-10-06 00:00:00,2016-10-06 00:00:00,25000.00,25000.00,,,S,,,H6NY03247,"SUOZZI, TOM",,TOM,,SUOZZI,,H,NY,3,DEM,,,,,,,,"PASCAL, HARRY",2016-10-06 00:00:00,,,,G2016,,,,HARRY,,PASCAL,VQZ6GAA8W47,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4100620161340634896,4100620161340654507,,,t,t,2016-10-06 00:00:00,,,,SE,https://docquery.fec.gov/cgi-bin/fecimg/?201610069032188767
C00486845,LCV VICTORY FUND,2024,24,202402019619652169,24,1753946,OTG STRATEGIES,,,,106 LANGTREE VILLAGE DR,STE 301,MOORESVILLE,NC,281177594,1753946,N,0,CANVASSING SERVICES,2024-01-31 00:00:00,2024-01-31 00:00:00,150000.00,602573.41,4,Advertising Expenses ,S,,,H6NY03247,"SUOZZI, THOMAS",,THOMAS,,SUOZZI,,H,NY,3,DEM,,,,,,,,"SONEKAN, TITI",2024-02-01 00:00:00,,,,O2024,SPECIAL GENERAL,,,TITI,,SONEKAN,500431112,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4020120241818220009,4020120241818739485,,,t,t,2024-02-01 00:00:00,,,,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202402019619652169
C90015991,JIM OWLES LIBERAL DEMOCRATIC CLUB,2016,24,201611029037084041,,1122797,ATLAS DIRECT MAIL,,,,92 MAGNOLIA AVENUE,,WESTBURY,NY,11590,1122797,N,,PRINTING OF CAMPAIGN LITERATURE-VOTE SUOZZI,2016-11-01 00:00:00,,1909.61,2109.61,6,Campaign Materials,S,,,H6NY03247,"SUOZZI, THOMAS",,THOMAS,,SUOZZI,,H,NY,6,DEM,,,,,,,,,,,,,G2016,GENERAL,,,,,,F57.000002,,A,ADD,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4110220161345751069,4110220161345753614,,,t,t,2016-11-02 00:00:00,,,,SE-F57,https://docquery.fec.gov/cgi-bin/fecimg/?201611029037084041
C00859355,BATTLEGROUND NEW YORK,2024,48,202401159600075321,24,1743459,GROSSMAN SOLUTIONS,,,,190 TRUMBULL STREET,SUITE 203,HARTFORD,CT,6103,1743459,N,0,CANVASSING SERVICES (ESTIMATE),2024-01-13 00:00:00,2024-01-13 00:00:00,316628.00,324328.00,,,S,X,,H6NY03247,"SUOZZI, THOMAS",,THOMAS,,SUOZZI,,H,NY,3,DEM,,,,,,,,"SEAY, GABRIELLE",2024-01-15 00:00:00,,,,O2024,SPECIAL GENERAL,,,GABRIELLE,,SEAY,WFT20240151544-1,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4011620241815498003,4011620241815648006,,,t,t,2024-01-15 00:00:00,,,,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202401159600075321
C90011172,AFSCME WORKING FAMILIES FUND,2024,24,202401319600808999,,1749887,RED HORSE STRATEGIES,,,,55 WASHINGTON STREET,SUITE 702,BROOKLYN,NY,11201,1749887,N,0,CHINESE WECHAT DIGITAL AD TO GENERAL PUBLIC SUPPORTING TOM SUOZZI ESTIMATE,2024-01-31 00:00:00,,1000.00,28717.00,4,Advertising Expenses ,S,,,H6NY03247,"SUOZZI, THOMAS",,THOMAS,,SUOZZI,,H,NY,3,DEM,,,,,,,,,,,,,S2024,SPECIAL,,,,,,F57.4833,,A,ADD,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4013120241817781000,4013120241817783003,,,t,t,2024-01-31 00:00:00,,,,SE-F57,https://docquery.fec.gov/cgi-bin/fecimg/?202401319600808999
C00678839,INDIVISIBLE ACTION,2024,24,202401279600449595,24,1746857,CIVITECH,,,,300 W 23RD ST,APT 10N,NEW YORK,NY,100112244,1746857,N,0,TEXT MESSAGES (ESTIMATE),2024-01-26 00:00:00,2024-01-26 00:00:00,1693.00,1786.60,,,S,,,H6NY03247,"SUOZZI, THOMAS",,THOMAS,,SUOZZI,,H,NY,3,DEM,,,,,,,,"RAMEY, ELIZABETH",2024-01-26 00:00:00,,,,O2024,SPECIAL GENERAL,,,ELIZABETH,,RAMEY,500171595,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4012720241817162005,4012720241817178011,,,t,t,2024-01-27 00:00:00,,,,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202401279600449595
C00495028,HMP,2024,48,202401129600051403,24,1743093,"MISSION CONTROL, INC.",,,,624 HEBRON AVE,STE 200,GLASTONBURY,CT,60335006,1743093,N,0,DIRECT MAIL - ESTIMATE,2024-01-11 00:00:00,2024-01-11 00:00:00,44851.04,434433.81,,,S,,,H6NY03247,"SUOZZI, THOMAS",,THOMAS,,SUOZZI,,H,NY,3,DEM,,,,,,,,"WOLFF, BRIAN",2024-01-12 00:00:00,,,,O2023,SPECIAL GENERAL,,,BRIAN,,WOLFF,500486329,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4011320241815450002,4011320241815458012,,,t,t,2024-01-12 00:00:00,,,,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202401129600051403
C00859355,BATTLEGROUND NEW YORK,2024,24,202402029619672218,24,1754185,GROSSMAN SOLUTIONS,,,,190 TRUMBULL ST,FL 203,HARTFORD,CT,61032210,1754185,N,0,CANVASSING SERVICES (ESTIMATE),2024-02-01 00:00:00,2024-02-01 00:00:00,363103.00,697431.00,,,S,,,H6NY03247,"SUOZZI, THOMAS",,THOMAS,,SUOZZI,,H,NY,3,DEM,,,,,,,,"SEAY, GABRIELLE",2024-02-02 00:00:00,,,,O2024,SPECIAL GENERAL,,,GABRIELLE,,SEAY,500055872,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4020220241818895009,4020220241819189322,,,t,t,2024-02-02 00:00:00,,,,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202402029619672218
C00859355,BATTLEGROUND NEW YORK,2024,24,202402029619672218,24,1754185,MIDSTATE PRINTING GROUP,,,,1234 SUMMER ST,STE 304,STAMFORD,CT,69055510,1754185,N,0,PRINTING OF CANVASSING MATERIALS (ESTIMATE),2024-02-01 00:00:00,2024-02-01 00:00:00,10000.00,697431.00,,,S,,,H6NY03247,"SUOZZI, THOMAS",,THOMAS,,SUOZZI,,H,NY,3,DEM,,,,,,,,"SEAY, GABRIELLE",2024-02-02 00:00:00,,,,O2024,SPECIAL GENERAL,,,GABRIELLE,,SEAY,500055870,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4020220241818895009,4020220241819189323,,,t,t,2024-02-02 00:00:00,,,,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202402029619672218
C00495028,HMP,2024,48,202401109600023469,24,1742587,"MISSION CONTROL, INC.",,,,624 HEBRON AVE,STE 200,GLASTONBURY,CT,60335006,1742587,N,0,DIRECT MAIL - ESTIMATE,2024-01-08 00:00:00,2024-01-08 00:00:00,49348.46,147703.49,,,S,,,H6NY03247,"SUOZZI, THOMAS",,THOMAS,,SUOZZI,,H,NY,3,DEM,,,,,,,,"WOLFF, BRIAN",2024-01-10 00:00:00,,,,O2023,SPECIAL GENERAL,,,BRIAN,,WOLFF,500485372,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4011020241815211010,4011020241815250044,,,t,t,2024-01-10 00:00:00,,,,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202401109600023469
